model,model_label,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,Logistic Regression,impulsive_noise,0.0902,79.23572744014733,0.0204647676756855,95.28959859453786
logistic_regression,Logistic Regression,low_snr,0.0909,79.07458563535911,0.015150126251052,96.51287631910564
logistic_regression,Logistic Regression,narrowband_jam,0.0909,79.07458563535911,0.015150126251052,96.51287631910564
logistic_regression,Logistic Regression,broadband_jam,0.0909,79.07458563535911,0.015150126251052,96.51287631910564
logistic_regression,Logistic Regression,multipath,0.0911,79.02854511970534,0.0180389091281843,95.84796151820684
logistic_regression,Logistic Regression,frequency_offset,0.092,78.82136279926335,0.0193147278253661,95.55430471840548
rbf_svm,RBF-SVM,low_snr,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
rbf_svm,RBF-SVM,narrowband_jam,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
rbf_svm,RBF-SVM,broadband_jam,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
rbf_svm,RBF-SVM,frequency_offset,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
rbf_svm,RBF-SVM,multipath,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
rbf_svm,RBF-SVM,impulsive_noise,0.0909,80.81873813040727,0.015150126251052,96.90019617945028
random_forest,Random Forest,narrowband_jam,0.0909,81.2422616591003,0.015150126251052,96.94735634390037
random_forest,Random Forest,frequency_offset,0.1014,79.07552620718118,0.0503717083979696,89.85045579555592
random_forest,Random Forest,low_snr,0.1279,73.607098638052,0.0893159089524089,82.0034738764366
random_forest,Random Forest,impulsive_noise,0.129,73.3801073049938,0.0971050492156426,80.43401701403064
random_forest,Random Forest,broadband_jam,0.1502,69.00536524969047,0.1237814557083007,75.05890913057702
random_forest,Random Forest,multipath,0.1596,67.06562113082954,0.0962208848335906,80.61216990510854
iq_cnn,Raw-IQ CNN,narrowband_jam,0.09165,82.0803597614625,0.0422135194415086,91.92979022462214
iq_cnn,Raw-IQ CNN,frequency_offset,0.09405,81.61110567992962,0.0363295309712914,93.05466732321028
iq_cnn,Raw-IQ CNN,impulsive_noise,0.10085,80.28155244891974,0.0569619942336026,89.11023651259416
iq_cnn,Raw-IQ CNN,multipath,0.18885,63.0755694593802,0.1182543998491642,77.39260250578008
iq_cnn,Raw-IQ CNN,low_snr,0.2454,52.01877016326131,0.2106443261058809,59.72987037901412
iq_cnn,Raw-IQ CNN,broadband_jam,0.3394,33.63965196988953,0.2958032453238164,43.44953290832645
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,impulsive_noise,0.0886363636363636,71.32352941176471,0.0294844854239868,90.0144687638092
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,narrowband_jam,0.0897727272727272,70.95588235294117,0.032855657859788,88.87275144447312
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,frequency_offset,0.0897727272727272,70.95588235294117,0.0315975425906163,89.29883821988696
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,low_snr,0.0931818181818181,69.85294117647058,0.0311475259340525,89.4512456747333
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,broadband_jam,0.096590909090909,68.75,0.0362462073744855,87.72447167631685
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,multipath,0.1011363636363636,67.27941176470587,0.0386598834204085,86.90703032694191
