model,condition,examples,accuracy,macro_f1
iq_cnn,heldout_clean,2200,0.32136363636363635,0.26976378514565985
iq_cnn,clean,2200,0.32136363636363635,0.26976378514565985
iq_cnn,low_snr,2200,0.175,0.11477812717535327
iq_cnn,narrowband_jam,2200,0.09,0.017278203210161703
iq_cnn,broadband_jam,2200,0.29772727272727273,0.27717019067511595
iq_cnn,frequency_offset,2200,0.08863636363636364,0.015455338035983196
iq_cnn,multipath,2200,0.09090909090909091,0.015259604013275856
iq_cnn,impulsive_noise,2200,0.09090909090909091,0.01515151515151515
