model,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,low_snr,0.22083333333333333,62.142857142857146,0.23272513736923953,59.57329052503992
logistic_regression,narrowband_jam,0.3104166666666667,46.785714285714285,0.24984571676959286,56.599272774808895
logistic_regression,broadband_jam,0.34375,41.07142857142858,0.34044961802245854,40.86045901943798
logistic_regression,frequency_offset,0.42916666666666664,26.42857142857144,0.41928958232822827,27.16516005846356
logistic_regression,multipath,0.40208333333333335,31.071428571428573,0.37960185672677227,34.05931928315617
logistic_regression,impulsive_noise,0.28958333333333336,50.357142857142854,0.23899040236249539,58.484950646807796
random_forest,low_snr,0.2708333333333333,68.44660194174756,0.26194218499689526,69.50598169414226
random_forest,narrowband_jam,0.18333333333333332,78.64077669902912,0.09864181913765044,88.51660553055906
random_forest,broadband_jam,0.325,62.13592233009708,0.32222253510950694,62.488440400290415
random_forest,frequency_offset,0.4166666666666667,51.45631067961165,0.40628702508648873,52.70206675352153
random_forest,multipath,0.3770833333333333,56.067961165048544,0.3366469776624537,60.80921788305225
random_forest,impulsive_noise,0.28541666666666665,66.74757281553399,0.2103741404934648,75.50927930389356
rbf_svm,low_snr,0.19583333333333333,72.51461988304094,0.18446609858570998,74.09348833551904
rbf_svm,narrowband_jam,0.20625,71.05263157894738,0.14387002792176337,79.79482091777108
rbf_svm,broadband_jam,0.29583333333333334,58.47953216374269,0.295559492860728,58.491476167980885
rbf_svm,frequency_offset,0.43333333333333335,39.1812865497076,0.4208345914066506,40.89777831980425
rbf_svm,multipath,0.39375,44.736842105263165,0.3651599403211118,48.71675432039036
rbf_svm,impulsive_noise,0.3020833333333333,57.60233918128655,0.2338556145466662,67.15719987300204
