model,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,low_snr,0.0909,79.72113775794757,0.015150126251052092,96.6142383518712
logistic_regression,narrowband_jam,0.0909,79.72113775794757,0.015150126251052092,96.6142383518712
logistic_regression,broadband_jam,0.0909,79.72113775794757,0.015150126251052092,96.6142383518712
logistic_regression,frequency_offset,0.09065,79.77691020635805,0.015117466802860063,96.62153711000067
logistic_regression,multipath,0.09065,79.77691020635805,0.015117466802860063,96.62153711000067
logistic_regression,impulsive_noise,0.09035,79.84383714445065,0.01945114440226861,95.65304356953177
random_forest,low_snr,0.13905,72.02776101388051,0.08483760097063223,83.31132984257943
random_forest,narrowband_jam,0.0909,81.71394085697044,0.015150126251052092,97.01977122226016
random_forest,broadband_jam,0.16945,65.91229128947897,0.10658417760496496,79.03349265304034
random_forest,frequency_offset,0.0969,80.50694025347013,0.043109321767175184,91.51983031755529
random_forest,multipath,0.1402,71.79641923154296,0.07455251680181804,85.33454095735465
random_forest,impulsive_noise,0.1112,77.63025548179442,0.06676980449675023,86.8655026665894
rbf_svm,low_snr,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
rbf_svm,narrowband_jam,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
rbf_svm,broadband_jam,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
rbf_svm,frequency_offset,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
rbf_svm,multipath,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
rbf_svm,impulsive_noise,0.09095,81.36652325343168,0.01515776491714894,96.98220909009618
