model,train_size_per_class,total_train_samples,seed,accuracy,macro_f1
Random Forest,100,800,1,0.29583333333333334,0.29911193621988763
RBF-SVM,100,800,1,0.25,0.27544374718845577
QFM-Kernel SVM,100,800,1,0.15416666666666667,0.15298962760640406
Logistic Regression,100,800,2,0.12708333333333333,0.12789568568590756
Random Forest,100,800,2,0.32708333333333334,0.33028603777788157
RBF-SVM,100,800,2,0.26875,0.28397749269367567
QFM-Kernel SVM,100,800,2,0.14166666666666666,0.1396950658128993
Logistic Regression,100,800,3,0.17083333333333334,0.16778751545223558
Random Forest,100,800,3,0.30625,0.3032326379088456
RBF-SVM,100,800,3,0.2625,0.2702678992874015
QFM-Kernel SVM,100,800,3,0.16875,0.1655546103998981
Logistic Regression,100,800,4,0.17916666666666667,0.17793518472559072
Random Forest,100,800,4,0.28541666666666665,0.28452798766182985
RBF-SVM,100,800,4,0.275,0.2808324118464856
QFM-Kernel SVM,100,800,4,0.14791666666666667,0.14692629945938884
Logistic Regression,200,1600,0,0.13958333333333334,0.14024658825226327
Random Forest,200,1600,0,0.325,0.32907629990500664
RBF-SVM,200,1600,0,0.33958333333333335,0.346285045739199
QFM-Kernel SVM,200,1600,0,0.175,0.16648520269603545
Logistic Regression,200,1600,1,0.1375,0.13762099719802856
Random Forest,200,1600,1,0.35833333333333334,0.3679467729703312
RBF-SVM,200,1600,1,0.33958333333333335,0.35685217547920645
QFM-Kernel SVM,200,1600,1,0.1375,0.13409829658888622
Logistic Regression,200,1600,2,0.13958333333333334,0.13912221743093706
Random Forest,200,1600,2,0.30625,0.3043489781305018
RBF-SVM,200,1600,2,0.35,0.3573011944876413
QFM-Kernel SVM,200,1600,2,0.15625,0.15133309480409043
Logistic Regression,200,1600,3,0.17083333333333334,0.1679076584384825
Random Forest,200,1600,3,0.32708333333333334,0.3264494228612762
RBF-SVM,200,1600,3,0.32083333333333336,0.3268454877583834
QFM-Kernel SVM,200,1600,3,0.16875,0.16496288709356172
Logistic Regression,200,1600,4,0.15208333333333332,0.14855505269045277
Random Forest,200,1600,4,0.33125,0.33292309369170714
RBF-SVM,200,1600,4,0.32916666666666666,0.33380055831750177
QFM-Kernel SVM,200,1600,4,0.16041666666666668,0.1556470282707968
