model,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,low_snr,0.09090909090909091,78.8583509513742,0.01515151515151515,96.47043862269481
logistic_regression,narrowband_jam,0.09090909090909091,78.8583509513742,0.01515151515151515,96.47043862269481
logistic_regression,broadband_jam,0.09090909090909091,78.8583509513742,0.01515151515151515,96.47043862269481
logistic_regression,frequency_offset,0.09090909090909091,78.8583509513742,0.01515151515151515,96.47043862269481
logistic_regression,multipath,0.09090909090909091,78.8583509513742,0.01515151515151515,96.47043862269481
logistic_regression,impulsive_noise,0.0890909090909091,79.28118393234672,0.0187432587841168,95.63373816890919
random_forest,low_snr,0.12727272727272726,71.85929648241206,0.08655282470272171,81.19592024237693
random_forest,narrowband_jam,0.09090909090909091,79.89949748743717,0.01515151515151515,96.70824955353577
random_forest,broadband_jam,0.14454545454545453,68.04020100502512,0.10324939761829742,77.56849745332516
random_forest,frequency_offset,0.09863636363636363,78.19095477386935,0.05380258207425315,88.3110915447858
random_forest,multipath,0.155,65.7286432160804,0.10111639853021667,78.03190329955801
random_forest,impulsive_noise,0.09818181818181818,78.29145728643216,0.06347766340052906,86.2091266286129
rbf_svm,low_snr,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
rbf_svm,narrowband_jam,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
rbf_svm,broadband_jam,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
rbf_svm,frequency_offset,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
rbf_svm,multipath,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
rbf_svm,impulsive_noise,0.09090909090909091,80.03992015968063,0.01515151515151515,96.77625368619856
